03.05.2021;8702.03
30.04.2021;8678.16
29.04.2021;8740.35
28.04.2021;8681.17
27.04.2021;8688.45
26.04.2021;8690.26
23.04.2021;8674.80
22.04.2021;8580.73
21.04.2021;8659.80
20.04.2021;8579.95
19.04.2021;8638.42
16.04.2021;8684.51
15.04.2021;8653.29
14.04.2021;8558.16
13.04.2021;8592.25
12.04.2021;8564.03
09.04.2021;8565.57
08.04.2021;8499.85
07.04.2021;8462.17
06.04.2021;8449.54
05.04.2021;8457.40
01.04.2021;8335.91
31.03.2021;8238.48
30.03.2021;8208.10
29.03.2021;8233.25
26.03.2021;8240.38
25.03.2021;8105.51
24.03.2021;8063.00
23.03.2021;8106.83
22.03.2021;8169.14
19.03.2021;8112.13
18.03.2021;8116.17
17.03.2021;8237.35
16.03.2021;8213.63
15.03.2021;8226.32
12.03.2021;8172.90
11.03.2021;8162.58
10.03.2021;8078.05
09.03.2021;8029.20
08.03.2021;7916.41
05.03.2021;7958.98
04.03.2021;7806.45
03.03.2021;7911.21
02.03.2021;8015.54
01.03.2021;8080.78
26.02.2021;7892.81
25.02.2021;7929.56
24.02.2021;8127.38
23.02.2021;8036.06
22.02.2021;8025.81
19.02.2021;8087.68
18.02.2021;8102.24
17.02.2021;8137.88
16.02.2021;8139.16
12.02.2021;8142.79
11.02.2021;8104.19
10.02.2021;8089.11
09.02.2021;8091.70
08.02.2021;8099.33
05.02.2021;8039.67
04.02.2021;8007.62
03.02.2021;7920.85
02.02.2021;7912.87
01.02.2021;7804.31
29.01.2021;7681.01
28.01.2021;7831.22
27.01.2021;7754.74
26.01.2021;7959.10
25.01.2021;7970.92
22.01.2021;7942.20
21.01.2021;7966.11
20.01.2021;7962.92
19.01.2021;7853.47
15.01.2021;7789.79
14.01.2021;7846.10
13.01.2021;7874.75
12.01.2021;7856.73
11.01.2021;7853.45
08.01.2021;7905.28
07.01.2021;7861.10
06.01.2021;7744.43
05.01.2021;7700.34
04.01.2021;7645.27
31.12.2020;7759.35
30.12.2020;7709.10
29.12.2020;7697.93
28.12.2020;7715.10
24.12.2020;7648.39
23.12.2020;7620.63
22.12.2020;7614.83
