iter	Passed	Remaining
398	107611	162091
399	107923	161885
400	108194	161617
401	108470	161356
402	108750	161101
403	109065	160898
404	109318	160604
405	109562	160296
406	109830	160023
407	110034	159657
408	110303	159387
409	110558	159096
410	110866	158882
411	111284	158823
412	111696	158754
413	112025	158567
414	112307	158312
415	112583	158049
416	112903	157848
417	113205	157620
418	113379	157216
419	113641	156933
420	113997	156780
421	114171	156376
422	114463	156135
423	114759	155900
424	115043	155647
425	115344	155417
426	115542	155049
427	115858	154839
428	116081	154504
429	116314	154184
430	116539	153853
431	116809	153582
432	117074	153305
433	117438	153157
434	117689	152861
435	117970	152604
436	118285	152390
437	118572	152141
438	118845	151872
439	119050	151518
440	119276	151191
441	119502	150864
442	119715	150522
443	119953	150211
444	120228	149947
445	120454	149622
446	120683	149302
447	120910	148978
448	121127	148644
449	121394	148371
450	121570	147987
451	121843	147721
452	122209	147568
453	122477	147296
454	122725	147000
455	122945	146672
456	123198	146382
457	123492	146141
458	123767	145878
459	123984	145546
460	124283	145312
461	124476	144953
462	124731	144666
463	124956	144346
464	125160	144001
465	125361	143654
466	125581	143329
467	125790	142992
468	126053	142717
469	126337	142465
470	126606	142196
471	126871	141923
472	127224	141749
473	127561	141555
474	127840	141297
475	128261	141195
476	128586	140987
477	128865	140728
478	129157	140482
479	129555	140351
480	129924	140188
481	130159	139881
482	130381	139559
483	130750	139394
484	131062	139169
485	131386	138955
486	131768	138803
487	132032	138525
488	132374	138330
489	132918	138343
490	133342	138230
491	133741	138091
492	134362	138178
493	134713	137985
494	135060	137789
495	135332	137515
496	135579	137216
497	136022	137115
498	136405	136951
499	136804	136804
500	137254	136706
501	137533	136437
502	137930	136285
503	138301	136106
504	138784	136036
505	138994	135698
506	139229	135384
507	139484	135091
508	139768	134826
509	139992	134502
510	140283	134243
511	140557	133969
512	140788	133653
513	141057	133373
514	141327	133094
515	141722	132933
516	142108	132763
517	142665	132750
518	143109	132631
519	143504	132465
520	143930	132327
521	144284	132123
522	144737	132007
523	145041	131755
524	145329	131488
525	145617	131221
526	145878	130930
527	146087	130593
528	146344	130299
529	146552	129961
530	146789	129650
531	147116	129417
532	147404	129151
533	147768	128951
534	148050	128679
535	148351	128424
536	148693	128203
537	148939	127899
538	149231	127635
539	149472	127328
540	149764	127064
541	149966	126724
542	150208	126418
543	150474	126132
544	150776	125877
545	150972	125534
546	151192	125210
547	151456	124923
548	151727	124642
549	151923	124301
550	152114	123955
551	152443	123722
552	152754	123474
553	153038	123204
554	153333	122942
555	153587	122649
556	153878	122384
557	154136	122093
558	154370	121784
559	154680	121534
560	155231	121473
561	155668	121322
562	156049	121125
563	156612	121069
564	156988	120867
565	157424	120710
566	157708	120437
567	158493	120544
568	159078	120496
569	159504	120328
570	159878	120118
571	160144	119828
572	160397	119528
573	160644	119223
574	160926	118946
575	161149	118624
576	161363	118295
577	161643	118016
578	161895	117716
579	162115	117394
580	162440	117146
581	162622	116797
582	162902	116518
583	163194	116248
584	163437	115942
585	163649	115615
586	163923	115333
587	164156	115021
588	164440	114745
589	164635	114407
590	164913	114127
591	165185	113844
592	165480	113575
593	165665	113232
594	166056	113030
595	166485	112852
596	166864	112640
597	167398	112532
598	167971	112448
599	168520	112346
600	169011	112205
601	169750	112227
602	170168	112034
603	170737	111940
604	171287	111832
605	171781	111686
606	172195	111487
607	172518	111228
608	172830	110963
609	173045	110635
610	173327	110350
611	173607	110064
612	173852	109756
613	174116	109460
614	174388	109170
615	174625	108857
616	174899	108568
617	175260	108332
618	175577	108069
619	175904	107812
620	176156	107509
621	176366	107180
622	176594	106864
623	176883	106583
624	177085	106251
625	177363	105964
626	177610	105659
627	177818	105332
628	178016	104998
629	178283	104706
630	178582	104432
631	178869	104152
632	179162	103874
633	179393	103561
634	179725	103307
635	179930	102978
636	180172	102672
637	180475	102401
638	180784	102133
639	180996	101810
640	181222	101495
641	181490	101205
642	181734	100900
643	182004	100611
644	182272	100320
645	182551	100036
646	182820	99746
647	183042	99430
648	183306	99138
649	183604	98863
650	183938	98609
651	184233	98333
652	184542	98064
653	184824	97781
654	185112	97502
655	185379	97211
656	185551	96870
657	185790	96565
658	186034	96263
659	186260	95952
660	186503	95650
661	186778	95364
662	187026	95064
663	187220	94737
664	187407	94408
665	187588	94075
666	187783	93751
667	187967	93420
668	188235	93132
669	188503	92845
670	188719	92531
671	188975	92237
672	189212	91935
673	189519	91666
674	189767	91369
675	190050	91089
676	190257	90772
677	190542	90493
678	190817	90209
679	191078	89919
680	191309	89614
681	191579	89328
682	191847	89041
683	192111	88753
684	192372	88463
685	192651	88181
686	192901	87886
687	193199	87613
688	193409	87300
689	193654	87004
690	193902	86708
691	194113	86397
692	194432	86134
693	194821	85901
694	195157	85644
695	195366	85332
696	195821	85127
697	196070	84832
698	196414	84579
699	196786	84337
700	197096	84068
701	197468	83825
702	197686	83517
703	198017	83257
704	198308	82980
705	198499	82661
706	198929	82441
707	199194	82153
708	199501	81883
709	199703	81568
710	199914	81259
711	200179	80971
712	200374	80655
713	200621	80360
714	200943	80096
715	201169	79793
716	201453	79513
717	201731	79231
718	201954	78927
719	202212	78638
720	202421	78329
721	202625	78019
722	202928	77747
723	203188	77458
724	203565	77214
725	203868	76942
726	204187	76675
727	204438	76383
728	204784	76127
729	205097	75858
730	205380	75577
731	205621	75282
732	205869	74989
733	206143	74705
734	206433	74428
735	206685	74137
736	206921	73840
737	207289	73590
738	207554	73304
739	207792	73008
740	208060	72722
741	208482	72491
742	208874	72248
743	209158	71968
744	209430	71684
745	209726	71408
746	210045	71140
747	210363	70871
748	210620	70581
749	210846	70282
750	211362	70078
751	211789	69845
752	212538	69717
753	213252	69575
754	213650	69330
755	213952	69053
756	214385	68818
757	214746	68560
758	215045	68281
759	215403	68022
760	215702	67743
761	216020	67471
762	216396	67216
763	217011	67034
764	217373	66774
765	217642	66486
766	218040	66236
767	218532	66014
768	218758	65712
769	219134	65455
770	219438	65177
771	219716	64890
772	220024	64612
773	220294	64323
774	220621	64051
775	221032	63803
776	221452	63557
777	221789	63287
778	222123	63015
779	222461	62745
780	222704	62448
781	222996	62165
782	223273	61877
783	223589	61601
784	223814	61299
785	224062	61004
786	224391	60731
787	224789	60476
788	225155	60212
789	225416	59920
790	225768	59653
791	226210	59408
792	226581	59145
793	226980	58889
794	227256	58600
795	227559	58319
796	227914	58051
797	228211	57767
798	228498	57482
799	228808	57202
800	229134	56925
801	229419	56639
802	229645	56339
803	229867	56037
804	230109	55740
805	230406	55457
806	230674	55167
807	230899	54867
808	231134	54569
809	231334	54263
810	231594	53972
811	231849	53679
812	232114	53389
813	232385	53100
814	232664	52813
815	232932	52524
816	233237	52243
817	233506	51953
818	233811	51672
819	234106	51389
820	234427	51111
821	234626	50807
822	234902	50519
823	235173	50231
824	235436	49941
825	235680	49647
826	235893	49346
827	236135	49052
828	236395	48761
829	236654	48471
830	236956	48189
831	237298	47916
832	237525	47619
833	237791	47330
834	238102	47050
835	238556	46798
836	238784	46501
837	239012	46205
838	239288	45918
839	239602	45638
840	239932	45361
841	240123	45058
842	240391	44770
843	240728	44494
844	240933	44194
845	241243	43914
846	241476	43619
847	241775	43337
848	241998	43040
849	242340	42765
850	242628	42481
851	242923	42197
852	243227	41916
853	243666	41657
854	243981	41376
855	244328	41101
856	244818	40850
857	245199	40580
858	245777	40342
859	246410	40113
860	246849	39851
861	247581	39636
862	248263	39411
863	248819	39166
864	249211	38894
865	249676	38633
866	250187	38379
867	250662	38119
868	251108	37854
869	251339	37556
870	251789	37291
871	252226	37024
872	252521	36735
873	252939	36464
874	253162	36166
875	253468	35879
876	253686	35579
877	253896	35279
878	254084	34976
879	254310	34678
880	254544	34382
881	254829	34092
882	255163	33809
883	255488	33525
884	255749	33232
885	256173	32961
886	256559	32684
887	257124	32430
888	257506	32152
889	258029	31891
890	258505	31624
891	259021	31361
892	259769	31125
893	260218	30853
894	260581	30570
895	260857	30278
896	261163	29988
897	261472	29699
898	261742	29406
899	262073	29119
900	262520	28845
901	262966	28570
902	263464	28301
903	263790	28013
904	264374	27752
905	264826	27476
906	265286	27201
907	265702	26921
908	266251	26654
909	266632	26370
910	267008	26085
911	267563	25817
912	268265	25563
913	268837	25295
914	269205	25008
915	269520	24715
916	269985	24437
917	270533	24165
918	270900	23876
919	271309	23592
920	271600	23296
921	271879	23000
922	272278	22714
923	272636	22424
924	272885	22125
925	273381	21846
926	273775	21559
927	274303	21282
928	274767	20999
929	275128	20708
930	275390	20410
931	275645	20111
932	275866	19810
933	276123	19511
934	276390	19214
935	276636	18915
936	276945	18620
937	277151	18319
938	277451	18024
939	277692	17725
940	277955	17427
941	278392	17140
942	278697	16845
943	278981	16549
944	279227	16251
945	279614	15961
946	279931	15666
947	280292	15374
948	280720	15086
949	281122	14795
950	281427	14500
951	281773	14207
952	282060	13910
953	282458	13619
954	282779	13324
955	283170	13032
956	283496	12738
957	283852	12444
958	284168	12149
959	284414	11850
960	284668	11552
961	284872	11252
962	285093	10953
963	285291	10654
964	285508	10355
965	285794	10059
966	286062	9762
967	286349	9466
968	286629	9169
969	286885	8872
970	287125	8575
971	287405	8279
972	287655	7982
973	287837	7683
974	288116	7387
975	288360	7090
976	288632	6794
977	288908	6498
978	289143	6202
979	289422	5906
980	289680	5610
981	289947	5314
982	290268	5019
983	290543	4724
984	290802	4428
985	291091	4133
986	291353	3837
987	291619	3541
988	291934	3247
989	292178	2951
990	292456	2656
991	292722	2360
992	292931	2064
993	293128	1769
994	293315	1473
995	293578	1179
996	293818	884
997	294138	589
998	294378	294
999	294608	0
